session_id,username,remote_address,remote_port,status,timestamp,hour,day_of_week,username_enc,remote_address_enc,status_enc,anomaly,cluster
4345-7606,guest,198.51.100.12,3389,failed,2025-07-20 17:46:25,17,6,3,785,2,1,0
5330-6488,bob,10.0.0.93,3389,failed,2025-07-10 16:15:39,16,3,2,247,2,1,2
8686-5642,admin,10.0.0.8,3389,connected,2025-07-30 16:36:05,16,2,0,232,0,1,2
6582-4594,test,192.168.1.12,3389,failed,2025-07-13 04:40:57,4,6,8,531,2,1,1
9210-4055,bob,192.168.1.186,3389,disconnected,2025-07-28 00:10:57,0,0,2,604,1,1,1
1789-2430,remote,172.16.0.24,3389,connected,2025-07-25 17:20:20,17,4,6,410,0,1,2
8140-3002,root,203.0.113.115,3389,failed,2025-07-20 12:23:34,12,6,7,1034,2,1,0
3376-6471,root,192.168.1.55,3389,disconnected,2025-07-12 15:07:14,15,5,7,713,1,1,0
3275-6682,user1,198.51.100.47,3389,connected,2025-07-22 05:39:03,5,1,9,958,0,1,1
1237-9376,root,203.0.113.186,3389,connected,2025-07-25 20:12:13,20,4,7,1112,0,1,0
4997-6772,alice,192.168.1.211,3389,failed,2025-07-02 23:04:47,23,2,1,633,2,1,0
9487-5686,guest,172.16.0.45,3389,disconnected,2025-07-14 18:26:18,18,0,3,448,1,1,2
4091-5768,test,192.168.1.195,3389,disconnected,2025-07-18 22:53:54,22,4,8,614,1,1,2
5005-7178,guest,203.0.113.12,3389,disconnected,2025-07-17 09:34:17,9,3,3,1039,1,1,0
4733-8422,john,10.0.0.147,3389,failed,2025-07-17 02:15:56,2,3,4,53,2,1,1
3009-7524,admin,192.168.1.194,3389,failed,2025-07-02 10:32:59,10,2,0,613,2,1,1
4044-9674,test,198.51.100.138,3389,failed,2025-07-10 22:00:12,22,3,8,805,2,1,0
8250-2028,user1,10.0.0.231,3389,failed,2025-07-21 01:11:20,1,0,9,147,2,-1,1
2091-9318,john,198.51.100.33,3389,disconnected,2025-07-09 20:31:36,20,2,4,943,1,1,0
1568-2805,bob,198.51.100.50,3389,failed,2025-07-10 20:32:33,20,3,2,962,2,1,0
3813-6915,test,198.51.100.123,3389,disconnected,2025-07-03 09:32:46,9,3,8,789,1,1,1
4619-7438,admin,10.0.0.97,3389,connected,2025-07-02 09:26:12,9,2,0,251,0,1,2
4012-7100,rdp_user,192.168.1.183,3389,failed,2025-07-26 00:51:45,0,5,5,601,2,1,1
9365-2612,user1,172.16.0.173,3389,disconnected,2025-07-12 09:22:06,9,5,9,336,1,1,2
8475-9685,user1,198.51.100.104,3389,disconnected,2025-07-29 15:10:28,15,1,9,768,1,1,0
1616-2545,test,192.168.1.90,3389,failed,2025-07-20 18:09:02,18,6,8,752,2,1,0
5786-1225,bob,203.0.113.202,3389,connected,2025-07-15 17:59:44,17,1,2,1131,0,1,0
7530-6744,remote,192.168.1.109,3389,failed,2025-07-27 03:21:27,3,6,6,519,2,1,1
8948-1838,bob,10.0.0.193,3389,disconnected,2025-07-24 03:19:44,3,3,2,104,1,1,1
5084-5821,rdp_user,192.168.1.223,3389,connected,2025-07-17 17:04:27,17,3,5,646,0,1,0
6128-7042,user1,172.16.0.226,3389,disconnected,2025-07-27 19:50:25,19,6,9,395,1,1,2
5276-1940,alice,172.16.0.180,3389,failed,2025-07-09 17:52:19,17,2,1,344,2,1,2
4578-7548,john,203.0.113.77,3389,failed,2025-07-19 05:41:57,5,5,4,1245,2,1,0
2634-4929,admin,198.51.100.84,3389,disconnected,2025-07-13 15:29:49,15,6,0,999,1,1,0
8129-3269,rdp_user,192.168.1.172,3389,failed,2025-07-25 20:17:41,20,4,5,589,2,1,2
4328-1891,remote,203.0.113.226,3389,failed,2025-07-19 23:48:59,23,5,6,1157,2,1,0
2855-1068,alice,10.0.0.123,3389,connected,2025-07-04 00:23:25,0,4,1,27,0,-1,1
2678-5800,john,172.16.0.243,3389,connected,2025-07-03 03:33:04,3,3,4,414,0,1,1
2219-5306,test,192.168.1.46,3389,disconnected,2025-07-18 02:57:18,2,4,8,703,1,1,1
7450-4448,rdp_user,10.0.0.227,3389,disconnected,2025-07-20 19:22:29,19,6,5,142,1,1,2
5018-6352,remote,198.51.100.188,3389,disconnected,2025-07-14 09:48:28,9,0,6,860,1,1,1
2328-8359,remote,203.0.113.58,3389,disconnected,2025-07-18 18:30:22,18,4,6,1224,1,1,0
1347-4160,john,198.51.100.1,3389,connected,2025-07-08 17:19:01,17,1,4,762,0,1,0
6663-2272,rdp_user,203.0.113.235,3389,failed,2025-07-24 04:22:37,4,3,5,1167,2,1,1
7873-9452,rdp_user,172.16.0.12,3389,failed,2025-07-28 19:41:26,19,0,5,277,2,1,2
2437-3499,test,192.168.1.250,3389,disconnected,2025-07-22 11:05:26,11,1,8,676,1,1,1
8631-4440,alice,203.0.113.158,3389,connected,2025-07-17 16:59:23,16,3,1,1081,0,1,0
3904-3506,root,10.0.0.121,3389,failed,2025-07-17 16:28:03,16,3,7,25,2,1,2
1013-6853,john,172.16.0.218,3389,connected,2025-07-01 20:20:04,20,1,4,386,0,1,2
9856-4982,john,10.0.0.143,3389,failed,2025-07-10 06:36:44,6,3,4,49,2,1,2
7233-3321,remote,172.16.0.122,3389,connected,2025-07-19 10:42:57,10,5,6,280,0,1,2
3557-5591,root,10.0.0.210,3389,connected,2025-07-05 01:11:26,1,5,7,124,0,1,1
7363-1199,admin,203.0.113.42,3389,connected,2025-07-18 12:17:41,12,4,0,1207,0,1,0
9921-3927,user1,192.168.1.240,3389,failed,2025-07-14 17:17:56,17,0,9,665,2,1,2
8613-3732,root,192.168.1.87,3389,connected,2025-07-26 04:09:09,4,5,7,748,0,1,1
4482-6851,test,192.168.1.185,3389,failed,2025-07-28 21:06:36,21,0,8,603,2,1,2
4738-4155,root,10.0.0.139,3389,failed,2025-07-28 00:04:51,0,0,7,44,2,-1,1
6183-4389,bob,198.51.100.22,3389,connected,2025-07-15 21:19:48,21,1,2,896,0,1,0
5844-9032,bob,203.0.113.151,3389,connected,2025-07-17 18:21:09,18,3,2,1074,0,1,0
1914-3572,guest,198.51.100.94,3389,failed,2025-07-18 18:47:31,18,4,3,1010,2,1,0
7960-9470,user1,198.51.100.97,3389,disconnected,2025-07-11 01:43:33,1,4,9,1013,1,1,1
9167-5809,user1,192.168.1.73,3389,disconnected,2025-07-10 14:04:26,14,3,9,733,1,1,0
8867-1026,test,192.168.1.224,3389,disconnected,2025-07-04 09:57:57,9,4,8,647,1,1,1
5989-8056,test,203.0.113.218,3389,disconnected,2025-07-29 14:52:01,14,1,8,1148,1,1,0
9216-5082,test,192.168.1.100,3389,connected,2025-07-17 22:16:21,22,3,8,510,0,1,2
6979-4002,test,10.0.0.139,3389,failed,2025-07-30 06:46:09,6,2,8,44,2,1,2
3293-6497,rdp_user,192.168.1.89,3389,disconnected,2025-07-26 13:15:38,13,5,5,750,1,1,0
2895-3276,john,198.51.100.55,3389,connected,2025-07-18 19:24:12,19,4,4,967,0,1,0
6606-8004,guest,10.0.0.30,3389,failed,2025-07-06 19:33:24,19,6,3,178,2,1,2
9386-6082,guest,172.16.0.214,3389,connected,2025-07-04 06:52:40,6,4,3,382,0,1,1
8334-6132,admin,192.168.1.231,3389,connected,2025-07-11 21:33:11,21,4,0,655,0,1,0
8002-5623,remote,192.168.1.205,3389,connected,2025-07-07 05:20:47,5,0,6,626,0,1,1
9276-6871,test,198.51.100.50,3389,connected,2025-07-16 03:46:31,3,2,8,962,0,1,1
8283-8621,root,192.168.1.130,3389,failed,2025-07-25 18:05:43,18,4,7,543,2,1,2
4215-9539,bob,198.51.100.70,3389,failed,2025-07-10 21:04:19,21,3,2,984,2,1,0
8341-7594,john,198.51.100.116,3389,disconnected,2025-07-14 04:56:13,4,0,4,781,1,1,1
6090-8763,root,10.0.0.181,3389,disconnected,2025-07-06 00:58:24,0,6,7,91,1,-1,1
5903-2308,bob,172.16.0.74,3389,disconnected,2025-07-12 10:17:19,10,5,2,480,1,1,1
1723-3989,bob,203.0.113.173,3389,connected,2025-07-06 22:40:39,22,6,2,1098,0,1,0
8121-3453,bob,172.16.0.28,3389,disconnected,2025-07-29 08:48:38,8,1,2,429,1,1,1
5920-5895,john,192.168.1.180,3389,connected,2025-07-05 12:45:42,12,5,4,598,0,1,2
8071-5119,test,10.0.0.120,3389,connected,2025-07-17 23:09:11,23,3,8,24,0,1,2
6400-1123,user1,203.0.113.123,3389,failed,2025-07-30 09:00:12,9,2,9,1043,2,1,0
4423-9950,root,172.16.0.159,3389,failed,2025-07-24 20:43:54,20,3,7,320,2,1,2
8366-8205,guest,172.16.0.47,3389,disconnected,2025-07-14 08:01:19,8,0,3,450,1,1,1
2812-2222,root,192.168.1.45,3389,failed,2025-07-27 01:13:39,1,6,7,702,2,1,1
8537-8662,remote,203.0.113.102,3389,connected,2025-07-20 11:01:10,11,6,6,1020,0,1,0
5327-4046,user1,198.51.100.148,3389,disconnected,2025-07-03 18:04:54,18,3,9,816,1,1,0
6946-4252,test,172.16.0.75,3389,disconnected,2025-07-17 15:43:26,15,3,8,481,1,1,2
6588-8109,admin,198.51.100.123,3389,failed,2025-07-22 21:56:43,21,1,0,789,2,1,0
7105-6766,test,203.0.113.178,3389,connected,2025-07-27 00:42:46,0,6,8,1103,0,1,1
4512-6755,bob,203.0.113.79,3389,disconnected,2025-07-25 14:00:25,14,4,2,1247,1,1,0
6168-1395,admin,192.168.1.39,3389,failed,2025-07-27 05:14:54,5,6,0,695,2,1,1
2684-2048,user1,10.0.0.138,3389,connected,2025-07-20 02:33:14,2,6,9,43,0,-1,1
5875-2093,user1,172.16.0.152,3389,failed,2025-07-03 10:53:23,10,3,9,313,2,1,2
7017-4084,user1,198.51.100.168,3389,connected,2025-07-23 05:51:06,5,2,9,838,0,1,1
3643-1801,admin,10.0.0.66,3389,disconnected,2025-07-25 13:05:15,13,4,0,217,1,1,2
2198-1886,rdp_user,172.16.0.60,3389,connected,2025-07-18 21:04:51,21,4,5,465,0,1,2
4159-5256,bob,203.0.113.231,3389,connected,2025-07-05 14:18:20,14,5,2,1163,0,1,0
4897-2264,admin,192.168.1.220,3389,disconnected,2025-07-03 18:00:21,18,3,0,643,1,1,0
7179-2803,bob,198.51.100.240,3389,disconnected,2025-07-17 06:52:30,6,3,2,919,1,1,1
3982-5568,bob,192.168.1.131,3389,disconnected,2025-07-13 01:01:06,1,6,2,544,1,1,1
3742-8755,user1,198.51.100.158,3389,disconnected,2025-07-01 03:55:56,3,1,9,827,1,1,1
5574-8136,root,192.168.1.82,3389,connected,2025-07-17 11:51:50,11,3,7,743,0,1,0
9491-2150,admin,198.51.100.25,3389,failed,2025-07-11 20:18:49,20,4,0,929,2,1,0
7276-9638,root,172.16.0.7,3389,failed,2025-07-24 15:40:33,15,3,7,475,2,1,2
7994-6079,test,203.0.113.106,3389,failed,2025-07-27 10:00:50,10,6,8,1024,2,1,0
9011-9051,bob,198.51.100.83,3389,connected,2025-07-29 07:30:30,7,1,2,998,0,1,1
8529-5074,user1,198.51.100.207,3389,connected,2025-07-05 03:51:59,3,5,9,882,0,1,1
6995-5001,user1,198.51.100.252,3389,failed,2025-07-11 09:54:14,9,4,9,932,2,1,0
4210-9717,alice,192.168.1.58,3389,connected,2025-07-27 22:19:04,22,6,1,716,0,1,0
7803-2486,bob,198.51.100.95,3389,disconnected,2025-07-03 19:25:57,19,3,2,1011,1,1,0
4959-3287,admin,203.0.113.85,3389,connected,2025-07-17 06:49:30,6,3,0,1254,0,1,0
1882-4638,guest,10.0.0.53,3389,failed,2025-07-09 02:44:58,2,2,3,203,2,1,1
5741-5208,alice,192.168.1.47,3389,failed,2025-07-12 13:08:17,13,5,1,704,2,1,0
7282-2182,john,10.0.0.36,3389,disconnected,2025-07-20 09:58:42,9,6,4,184,1,1,2
7942-7640,rdp_user,192.168.1.253,3389,failed,2025-07-02 08:37:00,8,2,5,679,2,1,1
3556-6795,john,198.51.100.103,3389,disconnected,2025-07-28 17:04:16,17,0,4,767,1,1,0
3258-4301,guest,10.0.0.128,3389,disconnected,2025-07-27 14:01:55,14,6,3,32,1,1,2
9779-6145,alice,203.0.113.128,3389,connected,2025-07-26 20:24:19,20,5,1,1048,0,1,0
3014-6995,rdp_user,10.0.0.222,3389,disconnected,2025-07-25 15:12:34,15,4,5,137,1,1,2
9308-2348,admin,10.0.0.110,3389,failed,2025-07-14 15:45:37,15,0,0,13,2,-1,2
7481-4358,root,192.168.1.30,3389,connected,2025-07-05 09:24:52,9,5,7,686,0,1,1
1995-6387,john,172.16.0.46,3389,disconnected,2025-07-14 05:45:40,5,0,4,449,1,1,1
6769-7195,alice,203.0.113.163,3389,connected,2025-07-01 21:46:34,21,1,1,1087,0,1,0
4395-2938,rdp_user,198.51.100.50,3389,connected,2025-07-03 05:49:24,5,3,5,962,0,1,1
4050-3896,remote,203.0.113.205,3389,disconnected,2025-07-13 22:28:12,22,6,6,1134,1,1,0
9879-6097,john,192.168.1.90,3389,connected,2025-07-27 07:13:06,7,6,4,752,0,1,1
9286-9152,remote,203.0.113.226,3389,failed,2025-07-07 15:51:19,15,0,6,1157,2,1,0
6205-7749,john,203.0.113.252,3389,disconnected,2025-07-16 02:43:18,2,2,4,1186,1,1,1
9605-8274,guest,203.0.113.177,3389,failed,2025-07-27 06:22:33,6,6,3,1102,2,1,1
2289-2988,guest,192.168.1.222,3389,disconnected,2025-07-28 07:49:40,7,0,3,645,1,1,1
6151-4571,alice,10.0.0.50,3389,failed,2025-07-27 20:20:24,20,6,1,200,2,1,2
8913-7186,john,10.0.0.194,3389,connected,2025-07-07 08:00:55,8,0,4,105,0,1,2
8854-7155,remote,198.51.100.64,3389,disconnected,2025-07-25 00:05:46,0,4,6,977,1,1,1
7232-9014,john,198.51.100.232,3389,connected,2025-07-19 17:27:28,17,5,4,910,0,1,0
7918-8379,guest,198.51.100.152,3389,connected,2025-07-12 05:17:26,5,5,3,821,0,1,1
7041-6150,alice,198.51.100.19,3389,failed,2025-07-07 16:58:42,16,0,1,862,2,1,0
4409-2088,guest,192.168.1.6,3389,failed,2025-07-23 01:14:48,1,2,3,718,2,1,1
7595-7758,alice,198.51.100.229,3389,connected,2025-07-29 01:31:11,1,1,1,906,0,1,1
5336-4038,rdp_user,203.0.113.49,3389,failed,2025-07-23 04:36:48,4,2,5,1214,2,1,1
8498-6956,admin,192.168.1.6,3389,connected,2025-07-06 11:18:20,11,6,0,718,0,1,0
2718-5540,rdp_user,198.51.100.210,3389,disconnected,2025-07-02 08:01:25,8,2,5,886,1,1,1
2844-7957,alice,203.0.113.199,3389,disconnected,2025-07-17 09:10:39,9,3,1,1126,1,1,0
3441-6700,alice,198.51.100.159,3389,connected,2025-07-21 05:27:51,5,0,1,828,0,1,1
7825-7364,guest,198.51.100.84,3389,failed,2025-07-02 07:00:43,7,2,3,999,2,1,1
6337-3618,bob,172.16.0.137,3389,connected,2025-07-26 12:13:17,12,5,2,296,0,1,2
1535-5705,remote,198.51.100.54,3389,disconnected,2025-07-05 10:49:26,10,5,6,966,1,1,0
4166-7253,test,192.168.1.100,3389,disconnected,2025-07-15 14:11:53,14,1,8,510,1,1,2
8988-1649,john,203.0.113.148,3389,failed,2025-07-17 09:19:12,9,3,4,1070,2,1,0
9031-7740,bob,203.0.113.97,3389,disconnected,2025-07-07 20:25:22,20,0,2,1267,1,1,0
7686-4270,root,10.0.0.57,3389,disconnected,2025-07-10 13:57:52,13,3,7,207,1,1,2
4435-7157,guest,198.51.100.184,3389,failed,2025-07-08 19:53:13,19,1,3,856,2,1,0
3217-3381,remote,192.168.1.252,3389,connected,2025-07-11 14:07:44,14,4,6,678,0,1,0
2050-3518,john,172.16.0.218,3389,disconnected,2025-07-03 20:15:23,20,3,4,386,1,1,2
1932-1746,remote,192.168.1.177,3389,connected,2025-07-26 14:18:28,14,5,6,594,0,1,2
5143-4854,john,203.0.113.111,3389,connected,2025-07-20 00:13:25,0,6,4,1030,0,1,1
6784-6094,bob,172.16.0.130,3389,disconnected,2025-07-25 21:46:39,21,4,2,289,1,1,2
9636-8259,user1,198.51.100.191,3389,failed,2025-07-06 05:28:41,5,6,9,864,2,1,1
6301-7557,guest,172.16.0.165,3389,disconnected,2025-07-08 07:13:54,7,1,3,327,1,1,1
5386-4769,admin,10.0.0.245,3389,failed,2025-07-30 12:39:58,12,2,0,162,2,1,2
9108-3146,bob,198.51.100.227,3389,connected,2025-07-08 21:01:43,21,1,2,904,0,1,0
9429-1649,guest,10.0.0.40,3389,disconnected,2025-07-28 18:57:28,18,0,3,189,1,1,2
1406-3646,rdp_user,198.51.100.72,3389,connected,2025-07-19 00:09:48,0,5,5,986,0,1,1
4877-2906,bob,203.0.113.167,3389,failed,2025-07-15 00:07:10,0,1,2,1091,2,1,1
1560-6752,guest,10.0.0.184,3389,failed,2025-07-04 10:27:59,10,4,3,94,2,1,2
1430-6706,rdp_user,192.168.1.182,3389,connected,2025-07-02 08:47:39,8,2,5,600,0,1,1
7056-7768,john,10.0.0.164,3389,disconnected,2025-07-24 18:29:54,18,3,4,72,1,1,2
8848-6946,remote,172.16.0.206,3389,disconnected,2025-07-17 04:40:37,4,3,6,373,1,1,1
5474-3937,alice,192.168.1.221,3389,failed,2025-07-02 05:12:56,5,2,1,644,2,1,1
7159-9781,rdp_user,10.0.0.98,3389,connected,2025-07-17 18:20:25,18,3,5,252,0,1,2
7352-9405,test,198.51.100.176,3389,failed,2025-07-22 11:57:14,11,1,8,847,2,1,0
9152-3213,guest,10.0.0.60,3389,connected,2025-07-20 17:22:38,17,6,3,211,0,1,2
4038-1403,user1,172.16.0.141,3389,connected,2025-07-25 20:33:34,20,4,9,301,0,1,2
1463-2799,rdp_user,192.168.1.240,3389,failed,2025-07-26 05:26:49,5,5,5,665,2,1,1
2051-3060,rdp_user,10.0.0.233,3389,failed,2025-07-17 06:33:21,6,3,5,149,2,1,1
1449-6510,test,172.16.0.130,3389,disconnected,2025-07-18 09:31:38,9,4,8,289,1,1,2
4476-7340,guest,192.168.1.152,3389,connected,2025-07-09 13:29:59,13,2,3,567,0,1,2
4069-9955,john,172.16.0.249,3389,failed,2025-07-07 05:48:40,5,0,4,420,2,1,1
2482-5144,remote,203.0.113.95,3389,failed,2025-07-18 05:54:32,5,4,6,1265,2,1,1
8109-4839,rdp_user,172.16.0.167,3389,failed,2025-07-15 16:13:17,16,1,5,329,2,1,2
2038-9555,bob,198.51.100.66,3389,failed,2025-07-04 13:32:02,13,4,2,979,2,1,0
4163-6325,rdp_user,172.16.0.11,3389,failed,2025-07-13 13:16:12,13,6,5,266,2,1,2
3322-4451,user1,10.0.0.56,3389,connected,2025-07-11 22:24:02,22,4,9,206,0,1,2
6050-4834,alice,10.0.0.119,3389,failed,2025-07-27 11:01:42,11,6,1,22,2,1,2
1634-2239,remote,172.16.0.6,3389,connected,2025-07-25 08:22:20,8,4,6,464,0,1,1
3833-5812,guest,10.0.0.187,3389,connected,2025-07-15 00:54:32,0,1,3,97,0,1,1
4468-1250,root,192.168.1.22,3389,failed,2025-07-03 22:19:26,22,3,7,642,2,1,2
7557-5483,guest,198.51.100.141,3389,disconnected,2025-07-13 04:28:30,4,6,3,809,1,1,1
3692-3306,remote,203.0.113.179,3389,disconnected,2025-07-09 15:24:16,15,2,6,1104,1,1,0
9431-8206,root,203.0.113.1,3389,connected,2025-07-10 08:47:58,8,3,7,1016,0,1,0
1031-4510,bob,192.168.1.93,3389,failed,2025-07-25 10:43:18,10,4,2,755,2,1,1
9223-2176,bob,198.51.100.27,3389,failed,2025-07-20 07:44:32,7,6,2,936,2,1,1
6354-9663,remote,192.168.1.221,3389,connected,2025-07-15 08:30:14,8,1,6,644,0,1,1
7197-4725,test,192.168.1.160,3389,failed,2025-07-02 09:52:55,9,2,8,576,2,1,1
9431-6617,remote,172.16.0.93,3389,failed,2025-07-30 06:48:49,6,2,6,501,2,1,1
1853-9008,remote,203.0.113.164,3389,failed,2025-07-24 19:03:12,19,3,6,1088,2,1,0
1464-2773,test,198.51.100.27,3389,disconnected,2025-07-19 12:04:32,12,5,8,936,1,1,0
1318-3538,admin,198.51.100.13,3389,connected,2025-07-16 21:55:18,21,2,0,796,0,1,0
6002-3517,rdp_user,10.0.0.134,3389,disconnected,2025-07-05 13:31:39,13,5,5,39,1,1,2
4463-4968,alice,192.168.1.41,3389,failed,2025-07-12 05:09:57,5,5,1,698,2,1,1
1795-6370,admin,203.0.113.110,3389,disconnected,2025-07-30 21:07:44,21,2,0,1029,1,1,0
6658-9367,guest,172.16.0.104,3389,connected,2025-07-27 09:30:43,9,6,3,260,0,1,2
4801-7672,john,192.168.1.27,3389,failed,2025-07-09 23:00:59,23,2,4,682,2,1,0
3656-7039,bob,192.168.1.74,3389,connected,2025-07-15 11:32:44,11,1,2,734,0,1,1
2037-7498,remote,198.51.100.68,3389,connected,2025-07-05 15:47:02,15,5,6,981,0,1,0
3587-3473,rdp_user,192.168.1.33,3389,connected,2025-07-26 05:47:43,5,5,5,689,0,1,1
9535-6259,root,192.168.1.143,3389,disconnected,2025-07-13 19:26:58,19,6,7,557,1,1,2
8777-3018,rdp_user,203.0.113.236,3389,disconnected,2025-07-26 05:59:45,5,5,5,1168,1,1,1
1021-2470,john,172.16.0.198,3389,failed,2025-07-10 23:17:11,23,3,4,363,2,1,2
4607-8781,remote,203.0.113.75,3389,failed,2025-07-19 00:47:04,0,5,6,1243,2,1,1
1090-5262,guest,203.0.113.35,3389,disconnected,2025-07-07 23:27:38,23,0,3,1199,1,1,0
5602-5138,remote,172.16.0.238,3389,connected,2025-07-18 17:56:28,17,4,6,408,0,1,2
9452-4699,admin,192.168.1.81,3389,connected,2025-07-02 06:27:13,6,2,0,742,0,1,1
3360-6411,admin,172.16.0.90,3389,connected,2025-07-14 20:38:08,20,0,0,498,0,1,2
8717-6631,alice,198.51.100.106,3389,failed,2025-07-21 08:04:09,8,0,1,770,2,1,1
8756-8906,alice,203.0.113.233,3389,disconnected,2025-07-23 19:35:23,19,2,1,1165,1,1,0
2707-3417,bob,198.51.100.23,3389,disconnected,2025-07-15 18:27:46,18,1,2,907,1,1,0
4175-6126,user1,172.16.0.92,3389,connected,2025-07-04 12:37:13,12,4,9,500,0,1,2
4720-4806,remote,192.168.1.163,3389,connected,2025-07-24 10:55:44,10,3,6,579,0,1,1
5954-4467,alice,172.16.0.17,3389,connected,2025-07-30 17:38:53,17,2,1,332,0,1,2
7647-3822,root,172.16.0.240,3389,connected,2025-07-05 07:08:22,7,5,7,411,0,1,1
1505-3831,bob,192.168.1.148,3389,failed,2025-07-08 03:05:32,3,1,2,562,2,1,1
7565-1354,guest,198.51.100.239,3389,connected,2025-07-18 09:09:09,9,4,3,917,0,1,0
3127-4900,bob,203.0.113.249,3389,failed,2025-07-20 21:34:32,21,6,2,1182,2,1,0
9024-1402,bob,192.168.1.48,3389,disconnected,2025-07-10 11:08:29,11,3,2,705,1,1,0
1920-5185,remote,172.16.0.206,3389,connected,2025-07-16 02:04:17,2,2,6,373,0,1,1
1769-9728,admin,10.0.0.53,3389,connected,2025-07-06 19:03:16,19,6,0,203,0,1,2
6996-4847,remote,172.16.0.242,3389,failed,2025-07-04 02:55:05,2,4,6,413,2,1,1
3760-8887,test,172.16.0.138,3389,failed,2025-07-30 14:04:29,14,2,8,297,2,1,2
4808-6768,admin,198.51.100.95,3389,connected,2025-07-18 09:41:42,9,4,0,1011,0,1,0
8279-4547,alice,203.0.113.158,3389,failed,2025-07-08 01:02:40,1,1,1,1081,2,1,1
6077-8001,bob,203.0.113.110,3389,connected,2025-07-24 05:41:17,5,3,2,1029,0,1,1
7725-4432,rdp_user,172.16.0.244,3389,connected,2025-07-21 00:44:18,0,0,5,415,0,1,1
5002-7594,john,203.0.113.119,3389,connected,2025-07-18 04:07:52,4,4,4,1038,0,1,1
1147-5857,user1,192.168.1.241,3389,failed,2025-07-16 01:57:38,1,2,9,666,2,1,1
8274-7286,user1,10.0.0.9,3389,disconnected,2025-07-30 01:49:53,1,2,9,243,1,1,1
1180-8981,guest,10.0.0.209,3389,failed,2025-07-28 13:08:17,13,0,3,122,2,1,2
8593-1550,remote,192.168.1.122,3389,failed,2025-07-20 09:33:39,9,6,6,534,2,1,1
5084-3145,bob,203.0.113.130,3389,failed,2025-07-17 05:19:49,5,3,2,1051,2,1,1
8014-4690,remote,172.16.0.124,3389,failed,2025-07-11 10:37:13,10,4,6,282,2,1,2
2416-4165,test,172.16.0.19,3389,disconnected,2025-07-06 03:25:39,3,6,8,354,1,1,1
3043-5940,bob,198.51.100.165,3389,failed,2025-07-11 18:12:30,18,4,2,835,2,1,0
3674-9057,test,192.168.1.211,3389,failed,2025-07-22 16:40:20,16,1,8,633,2,1,2
2931-1729,admin,192.168.1.16,3389,disconnected,2025-07-16 21:51:34,21,2,0,575,1,1,2
1737-8559,alice,192.168.1.229,3389,disconnected,2025-07-27 12:28:38,12,6,1,652,1,1,0
4729-5080,rdp_user,10.0.0.224,3389,disconnected,2025-07-06 13:58:16,13,6,5,139,1,1,2
9190-2443,root,192.168.1.131,3389,disconnected,2025-07-13 20:52:02,20,6,7,544,1,1,2
7844-9799,user1,10.0.0.28,3389,disconnected,2025-07-25 11:01:49,11,4,9,175,1,1,2
9025-5552,test,10.0.0.248,3389,connected,2025-07-15 16:05:05,16,1,8,165,0,1,2
7156-9429,john,10.0.0.9,3389,disconnected,2025-07-29 01:26:16,1,1,4,243,1,1,1
6728-1270,test,203.0.113.133,3389,connected,2025-07-04 23:16:18,23,4,8,1054,0,1,0
6464-1073,test,172.16.0.197,3389,failed,2025-07-26 01:32:22,1,5,8,362,2,1,1
6517-1754,user1,192.168.1.27,3389,disconnected,2025-07-29 12:34:04,12,1,9,682,1,1,2
8252-2026,remote,10.0.0.190,3389,disconnected,2025-07-07 22:03:57,22,0,6,101,1,1,2
6481-2602,user1,192.168.1.15,3389,connected,2025-07-21 00:53:07,0,0,9,564,0,-1,1
5811-5709,alice,203.0.113.231,3389,connected,2025-07-08 22:27:27,22,1,1,1163,0,1,0
1522-2938,alice,172.16.0.149,3389,connected,2025-07-03 20:15:41,20,3,1,309,0,1,2
4059-7421,bob,203.0.113.95,3389,connected,2025-07-03 03:19:43,3,3,2,1265,0,1,1
8944-6383,john,10.0.0.183,3389,connected,2025-07-17 03:57:53,3,3,4,93,0,1,1
9127-1326,alice,10.0.0.166,3389,connected,2025-07-24 20:15:59,20,3,1,74,0,1,2
1746-7991,guest,192.168.1.155,3389,connected,2025-07-05 23:27:32,23,5,3,570,0,1,2
2176-9713,test,192.168.1.168,3389,failed,2025-07-15 16:49:39,16,1,8,584,2,1,2
2704-1871,admin,203.0.113.36,3389,connected,2025-07-12 14:00:34,14,5,0,1200,0,1,0
3692-6640,admin,192.168.1.214,3389,failed,2025-07-03 16:45:37,16,3,0,636,2,1,0
2246-5350,user1,198.51.100.133,3389,connected,2025-07-30 23:11:43,23,2,9,800,0,1,0
9911-5583,guest,10.0.0.162,3389,disconnected,2025-07-02 02:13:49,2,2,3,70,1,1,1
2146-2179,john,198.51.100.75,3389,failed,2025-07-14 09:17:52,9,0,4,989,2,1,0
2778-5617,john,172.16.0.69,3389,connected,2025-07-27 20:19:20,20,6,4,474,0,1,2
2229-7341,alice,10.0.0.50,3389,failed,2025-07-17 04:01:01,4,3,1,200,2,1,1
2683-1870,remote,172.16.0.89,3389,failed,2025-07-26 01:35:28,1,5,6,496,2,1,1
7189-8617,john,192.168.1.105,3389,disconnected,2025-07-11 04:37:12,4,4,4,515,1,1,1
8760-8709,user1,192.168.1.15,3389,connected,2025-07-01 15:23:26,15,1,9,564,0,1,2
4034-3085,guest,203.0.113.156,3389,connected,2025-07-29 15:58:59,15,1,3,1079,0,1,0
